runID, size, clue_count, board, alg1Time, alg1Solution, alg1Valid 
1,9,17, 3 _ 6 _ _ _ _ 8 9 | 4 _ _ 2 _ _ _ _ _ | _ _ _ _ _ _ 1 _ _ | _ _ _ _ 5 _ _ _ _ | _ _ _ _ _ _ _ _ _ | _ 8 _ _ _ _ _ _ 5 | _ 5 _ _ 3 _ _ 7 _ | _ _ _ _ _ _ 5 _ 2 | _ _ 4 _ _ _ _ 3 _ |,0.0007348, 3 1 6 4 7 5 2 8 9 | 4 7 8 2 1 9 3 5 6 | 2 9 5 3 6 8 1 4 7 | 1 2 3 6 5 4 7 9 8 | 5 4 7 8 9 1 6 2 3 | 6 8 9 7 2 3 4 1 5 | 9 5 2 1 3 6 8 7 4 | 8 3 1 9 4 7 5 6 2 | 7 6 4 5 8 2 9 3 1 |,1,
2,9,17, _ _ _ 2 3 4 _ _ _ | 5 4 _ 1 7 _ _ _ _ | _ _ _ _ _ 9 1 _ _ | _ _ _ _ _ _ _ _ _ | _ _ _ _ _ _ _ _ _ | 7 _ 8 _ _ _ 3 5 _ | _ _ _ 6 _ _ _ _ _ | _ _ _ _ _ _ _ _ 1 | 9 _ 5 _ _ _ _ _ _ |,0.0107461, 1 6 7 2 3 4 5 8 9 | 5 4 9 1 7 8 2 3 6 | 2 8 3 5 6 9 1 4 7 | 3 1 2 7 8 5 6 9 4 | 4 5 6 3 9 2 7 1 8 | 7 9 8 4 1 6 3 5 2 | 8 2 1 6 4 3 9 7 5 | 6 3 4 9 5 7 8 2 1 | 9 7 5 8 2 1 4 6 3 |,1,
3,9,17, _ _ _ _ _ _ _ _ _ | _ 1 _ _ _ _ _ _ _ | 2 _ _ _ 7 _ _ 3 _ | _ 2 3 _ _ _ _ _ 8 | _ _ _ 2 _ _ _ 1 _ | _ _ _ _ _ _ _ _ _ | _ _ 1 _ _ _ 9 _ 2 | _ _ _ 9 _ _ _ 4 1 | _ _ _ 7 _ _ 5 _ _ |,0.0010354, 3 4 5 1 2 6 7 8 9 | 6 1 7 3 8 9 2 5 4 | 2 8 9 4 7 5 1 3 6 | 1 2 3 5 4 7 6 9 8 | 4 5 6 2 9 8 3 1 7 | 9 7 8 6 3 1 4 2 5 | 5 3 1 8 6 4 9 7 2 | 7 6 2 9 5 3 8 4 1 | 8 9 4 7 1 2 5 6 3 |,1,
4,9,17, _ 2 4 3 _ 6 _ _ _ | 6 _ _ _ _ 9 2 _ 4 | _ _ 3 _ _ _ _ _ _ | _ 1 6 _ _ _ _ _ _ | 3 4 _ 8 _ _ _ 6 _ | _ 9 _ _ _ _ _ _ _ | _ _ _ _ _ _ _ _ _ | _ _ _ _ _ _ _ _ _ | _ _ _ _ _ _ 4 _ _ |,0.0010262, 1 2 4 3 5 6 7 8 9 | 6 5 7 1 8 9 2 3 4 | 9 8 3 2 4 7 1 5 6 | 2 1 6 4 9 3 5 7 8 | 3 4 5 8 7 1 9 6 2 | 7 9 8 5 6 2 3 4 1 | 4 3 1 6 2 5 8 9 7 | 8 7 2 9 3 4 6 1 5 | 5 6 9 7 1 8 4 2 3 |,1,
5,9,17, _ _ _ _ _ _ 5 6 _ | _ 3 _ 4 _ _ 1 2 _ | _ _ _ _ _ _ _ _ _ | _ _ 3 _ _ _ _ _ _ | _ _ _ _ _ _ _ 8 3 | _ _ 9 _ _ _ 4 1 _ | _ _ _ _ 6 5 _ _ _ | _ _ _ _ _ _ _ _ _ | 6 _ 4 _ _ _ _ _ 1 |,0.0003866, 1 2 7 3 8 9 5 6 4 | 5 3 8 4 7 6 1 2 9 | 4 9 6 1 5 2 3 7 8 | 2 1 3 5 4 8 6 9 7 | 7 4 5 6 9 1 2 8 3 | 8 6 9 2 3 7 4 1 5 | 3 7 1 8 6 5 9 4 2 | 9 5 2 7 1 4 8 3 6 | 6 8 4 9 2 3 7 5 1 |,1,
6,9,17, _ _ _ _ 2 _ _ 8 _ | _ _ _ _ _ 9 _ _ _ | 9 _ _ _ 6 _ 1 _ _ | _ _ _ 5 _ 6 7 _ 8 | _ 6 _ _ 9 _ _ _ _ | _ _ _ _ _ _ _ _ _ | _ _ _ 8 7 _ _ _ _ | _ _ _ _ _ 4 _ 2 _ | 8 _ _ _ _ _ _ _ _ |,0.0003139, 1 3 4 7 2 5 6 8 9 | 2 5 6 1 8 9 3 4 7 | 9 7 8 4 6 3 1 5 2 | 3 1 2 5 4 6 7 9 8 | 4 6 7 2 9 8 5 1 3 | 5 8 9 3 1 7 2 6 4 | 6 4 1 8 7 2 9 3 5 | 7 9 3 6 5 4 8 2 1 | 8 2 5 9 3 1 4 7 6 |,1,
7,9,17, _ _ _ _ _ _ _ 7 _ | _ _ 1 _ _ 8 _ _ _ | _ 8 _ 5 _ _ _ _ _ | 1 _ _ _ _ 6 _ _ _ | _ _ _ _ _ _ _ 3 1 | _ _ _ _ _ 3 _ 4 _ | 3 1 _ _ _ _ 9 _ _ | _ _ _ _ _ _ _ _ 2 | _ _ _ 6 _ 2 _ _ _ |,0.0054138, 2 3 4 1 6 9 5 7 8 | 5 6 1 2 7 8 3 9 4 | 7 8 9 5 3 4 1 2 6 | 1 2 3 7 4 6 8 5 9 | 4 7 8 9 2 5 6 3 1 | 6 9 5 8 1 3 2 4 7 | 3 1 2 4 8 7 9 6 5 | 9 4 6 3 5 1 7 8 2 | 8 5 7 6 9 2 4 1 3 |,1,
8,9,17, _ _ _ _ _ 5 _ _ _ | _ _ _ 2 _ _ 1 _ _ | 1 _ _ _ _ _ _ 3 _ | _ _ _ _ _ _ _ _ 7 | 5 _ _ _ _ _ _ _ 6 | _ 8 _ _ _ 2 _ _ _ | 7 _ _ _ _ _ 9 _ 2 | _ 5 _ 9 _ _ _ _ 4 | _ _ _ _ _ _ _ _ 3 |,0.0183687, 2 3 4 1 8 5 6 7 9 | 6 7 5 2 3 9 1 4 8 | 1 9 8 4 6 7 2 3 5 | 3 1 2 6 5 4 8 9 7 | 5 4 7 8 9 1 3 2 6 | 9 8 6 3 7 2 4 5 1 | 7 6 1 5 4 3 9 8 2 | 8 5 3 9 2 6 7 1 4 | 4 2 9 7 1 8 5 6 3 |,1,
9,9,17, _ 5 _ _ _ _ _ _ _ | _ 9 _ 4 _ 7 _ 2 _ | _ 7 _ _ 8 _ _ _ _ | _ _ _ 5 _ _ 8 _ _ | _ 6 _ 7 _ _ _ _ _ | 7 8 _ _ _ _ _ _ _ | _ _ _ _ _ _ _ _ _ | _ _ _ _ _ _ 7 _ _ | _ _ 2 _ 7 _ 5 _ _ |,0.0003794, 1 5 3 2 6 9 4 7 8 | 6 9 8 4 1 7 3 2 5 | 2 7 4 3 8 5 1 6 9 | 3 2 1 5 4 6 8 9 7 | 4 6 5 7 9 8 2 1 3 | 7 8 9 1 2 3 6 5 4 | 5 1 7 6 3 4 9 8 2 | 8 3 6 9 5 2 7 4 1 | 9 4 2 8 7 1 5 3 6 |,1,
10,9,17, _ _ 6 _ _ _ _ _ _ | _ _ _ _ 5 _ _ _ _ | _ _ 8 _ _ _ 1 _ 4 | _ 2 _ _ _ _ _ _ _ | 3 _ _ _ _ 7 _ _ _ | _ 7 _ _ 1 _ _ 5 _ | 4 _ _ _ _ _ _ 8 _ | _ _ _ 9 _ _ _ _ 3 | 6 9 _ _ _ _ _ _ _ |,0.0035635, 1 3 6 2 4 8 5 7 9 | 2 4 7 1 5 9 3 6 8 | 9 5 8 3 7 6 1 2 4 | 5 2 1 8 9 4 6 3 7 | 3 6 4 5 2 7 8 9 1 | 8 7 9 6 1 3 4 5 2 | 4 1 2 7 3 5 9 8 6 | 7 8 5 9 6 1 2 4 3 | 6 9 3 4 8 2 7 1 5 |,1,
